fast_ema,slow_ema,rsi_period,rsi_overbought,rsi_oversold,atr_period,stop_atr,take_atr,final_capital,profit
10,30,14,70,25,14,1.5,3,939.9700000000074,-60.02999999999258
10,30,14,70,30,14,1.5,3,939.9700000000074,-60.02999999999258
5,70,14,75,25,14,2.0,2,939.6599999999999,-60.340000000000146
5,70,14,75,30,14,2.0,2,939.6599999999999,-60.340000000000146
20,50,14,70,25,14,1.5,4,939.5600000000054,-60.4399999999946
20,50,14,70,30,14,1.5,4,939.5600000000054,-60.4399999999946
15,70,14,70,25,14,1.0,4,938.900000000007,-61.099999999992974
15,70,14,70,30,14,1.0,4,938.900000000007,-61.099999999992974
20,60,14,75,25,14,2.0,2,938.5100000000035,-61.489999999996485
20,60,14,75,30,14,2.0,2,938.5100000000035,-61.489999999996485
15,90,14,75,30,14,1.0,4,938.4899999999992,-61.51000000000079
15,90,14,75,25,14,1.0,4,938.4899999999992,-61.51000000000079
5,80,14,75,30,14,2.0,2,938.2200000000007,-61.77999999999929
5,80,14,75,25,14,2.0,2,938.2200000000007,-61.77999999999929
15,90,14,75,30,14,1.0,3,938.1100000000073,-61.88999999999271
15,90,14,75,25,14,1.0,3,938.1100000000073,-61.88999999999271
15,60,14,70,25,14,2.0,4,938.1000000000031,-61.89999999999691
15,60,14,70,30,14,2.0,4,938.1000000000031,-61.89999999999691
15,70,14,70,30,14,1.5,4,937.6100000000057,-62.3899999999943
15,70,14,70,25,14,1.5,4,937.6100000000057,-62.3899999999943
10,50,14,75,25,14,1.5,2,937.5700000000062,-62.42999999999381
10,50,14,75,30,14,1.5,2,937.5700000000062,-62.42999999999381
20,40,14,70,30,14,2.0,3,937.4100000000057,-62.58999999999435
20,40,14,70,25,14,2.0,3,937.4100000000057,-62.58999999999435
5,40,14,75,25,14,1.0,2,937.0200000000125,-62.97999999998751
5,40,14,75,30,14,1.0,2,937.0200000000125,-62.97999999998751
15,90,14,75,30,14,1.5,2,936.8800000000009,-63.119999999999095
15,90,14,75,25,14,1.5,2,936.8800000000009,-63.119999999999095
10,50,14,75,25,14,1.0,4,936.7300000000046,-63.269999999995434
10,50,14,75,30,14,1.0,4,936.7300000000046,-63.269999999995434
10,80,14,70,25,14,2.0,3,936.7200000000057,-63.27999999999429
10,80,14,70,30,14,2.0,3,936.7200000000057,-63.27999999999429
15,20,14,75,30,14,2.0,3,936.5500000000075,-63.44999999999254
15,20,14,75,25,14,2.0,3,936.5500000000075,-63.44999999999254
10,70,14,70,25,14,2.0,3,935.4600000000075,-64.53999999999246
10,70,14,70,30,14,2.0,3,935.4600000000075,-64.53999999999246
5,80,14,70,30,14,1.5,3,935.3500000000108,-64.64999999998918
5,80,14,70,25,14,1.5,3,935.3500000000108,-64.64999999998918
20,50,14,75,25,14,1.0,2,934.8000000000121,-65.19999999998788
20,50,14,75,30,14,1.0,2,934.8000000000121,-65.19999999998788
10,100,14,70,25,14,1.0,4,934.8000000000054,-65.19999999999459
10,100,14,70,30,14,1.0,4,934.8000000000054,-65.19999999999459
15,20,14,70,25,14,1.5,4,934.6700000000036,-65.3299999999964
15,20,14,70,30,14,1.5,4,934.6700000000036,-65.3299999999964
5,40,14,70,25,14,2.0,3,934.2500000000043,-65.74999999999568
5,40,14,70,30,14,2.0,3,934.2500000000043,-65.74999999999568
10,40,14,75,30,14,1.5,2,934.0900000000034,-65.90999999999656
10,40,14,75,25,14,1.5,2,934.0900000000034,-65.90999999999656
20,40,14,70,25,14,2.0,4,933.4800000000035,-66.51999999999646
20,40,14,70,30,14,2.0,4,933.4800000000035,-66.51999999999646
5,40,14,70,25,14,2.0,4,933.4500000000065,-66.54999999999347
5,40,14,70,30,14,2.0,4,933.4500000000065,-66.54999999999347
15,50,14,70,25,14,2.0,3,933.2100000000067,-66.78999999999326
15,50,14,70,30,14,2.0,3,933.2100000000067,-66.78999999999326
10,100,14,75,30,14,1.0,3,932.8800000000082,-67.11999999999182
10,100,14,75,25,14,1.0,3,932.8800000000082,-67.11999999999182
15,70,14,70,25,14,1.5,3,932.8500000000081,-67.1499999999919
15,70,14,70,30,14,1.5,3,932.8500000000081,-67.1499999999919
10,80,14,70,25,14,2.0,4,932.7900000000036,-67.2099999999964
10,80,14,70,30,14,2.0,4,932.7900000000036,-67.2099999999964
10,60,14,70,30,14,2.0,3,932.7600000000058,-67.23999999999421
10,60,14,70,25,14,2.0,3,932.7600000000058,-67.23999999999421
20,50,14,75,25,14,1.5,3,932.520000000014,-67.47999999998603
20,50,14,75,30,14,1.5,3,932.520000000014,-67.47999999998603
10,80,14,75,25,14,1.0,2,932.4300000000112,-67.5699999999888
10,80,14,75,30,14,1.0,2,932.4300000000112,-67.5699999999888
10,50,14,70,30,14,1.0,4,931.8000000000079,-68.19999999999209
10,50,14,70,25,14,1.0,4,931.8000000000079,-68.19999999999209
10,70,14,70,30,14,2.0,4,931.5300000000054,-68.46999999999457
10,70,14,70,25,14,2.0,4,931.5300000000054,-68.46999999999457
15,70,14,70,30,14,1.0,3,931.2600000000112,-68.73999999998875
15,70,14,70,25,14,1.0,3,931.2600000000112,-68.73999999998875
15,40,14,75,25,14,1.0,4,931.0500000000013,-68.94999999999868
15,40,14,75,30,14,1.0,4,931.0500000000013,-68.94999999999868
10,70,14,75,30,14,1.0,2,930.8900000000134,-69.1099999999866
10,70,14,75,25,14,1.0,2,930.8900000000134,-69.1099999999866
15,30,14,75,30,14,2.0,4,930.8300000000037,-69.16999999999632
15,30,14,75,25,14,2.0,4,930.8300000000037,-69.16999999999632
10,20,14,75,30,14,2.0,3,929.9900000000105,-70.00999999998953
10,20,14,75,25,14,2.0,3,929.9900000000105,-70.00999999998953
